season,slot_id,winner_team_id,win_freq,n_sims
2026,R1W1,1181,0.9765,10000
2026,R1W8,1326,0.8962,10000
2026,R1W5,1385,0.915,10000
2026,R1W4,1242,0.883,10000
2026,R1W6,1257,0.8376,10000
2026,R1W3,1277,0.8816,10000
2026,R1W7,1417,0.8458,10000
2026,R1W2,1163,0.9844,10000
2026,R1X1,1196,0.9787,10000
2026,R1X8,1155,0.629,10000
2026,R1X5,1435,0.9309,10000
2026,R1X4,1304,0.9847,10000
2026,R1X6,1314,0.6293,10000
2026,R1X3,1228,0.9825,10000
2026,R1X7,1388,0.6053,10000
2026,R1X2,1222,0.9829,10000
2026,R1Y1,1276,0.9833,10000
2026,R1Y8,1208,0.5734,10000
2026,R1Y5,1403,0.9191,10000
2026,R1Y4,1104,0.9242,10000
2026,R1Y6,1397,0.9456,10000
2026,R1Y3,1438,0.9737,10000
2026,R1Y7,1246,0.5845,10000
2026,R1Y2,1235,0.9723,10000
2026,R1Z1,1112,0.9837,10000
2026,R1Z8,1437,0.6551,10000
2026,R1Z5,1458,0.9392,10000
2026,R1Z4,1116,0.9575,10000
2026,R1Z6,1140,0.5692,10000
2026,R1Z3,1211,0.9876,10000
2026,R1Z7,1274,0.5938,10000
2026,R1Z2,1345,0.9806,10000
2026,R2W1,1181,0.8556,10000
2026,R2W4,1242,0.5671,10000
2026,R2W3,1277,0.5472,10000
2026,R2W2,1163,0.6777,10000
2026,R2X1,1196,0.8477,10000
2026,R2X4,1304,0.53,10000
2026,R2X3,1228,0.877,10000
2026,R2X2,1222,0.8621,10000
2026,R2Y1,1276,0.9076,10000
2026,R2Y4,1104,0.6406,10000
2026,R2Y3,1438,0.6856,10000
2026,R2Y2,1235,0.7898,10000
2026,R2Z1,1112,0.8952,10000
2026,R2Z4,1116,0.622,10000
2026,R2Z3,1211,0.5751,10000
2026,R2Z2,1345,0.8809,10000
2026,R3W1,1181,0.8058,10000
2026,R3W2,1163,0.4296,10000
2026,R3X1,1196,0.6486,10000
2026,R3X2,1222,0.5857,10000
2026,R3Y1,1276,0.8095,10000
2026,R3Y2,1235,0.5333,10000
2026,R3Z1,1112,0.7737,10000
2026,R3Z2,1345,0.7002,10000
2026,R4W1,1181,0.7411,10000
2026,R4X1,1196,0.4246,10000
2026,R4Y1,1276,0.6735,10000
2026,R4Z1,1112,0.5988,10000
2026,R5WX,1181,0.5318,10000
2026,R5YZ,1276,0.4702,10000
2026,R6CH,1181,0.3748,10000
